IWS,OpenCV,HIGRA,NIWS,DIFT,Pixel Visited
78.3692,123.985,474.0004539,75.8695,461.348389,3145728
7.85312,121.351,475.188601,76.4935,464.957214,228426
8.14983,119.177,473.9090562,77.049,468.475769,258642
6.85388,118.617,479.3957591,76.8642,468.980804,223511
1.87393,119.238,473.3472586,76.9527,470.59613,3229
2.0511,119.302,470.9474802,76.9851,470.4664,9409
5.22543,119.271,470.0490713,77.2291,469.681305,155432
4.2972,120.079,468.4102178,77.4603,467.977539,107158
7.13095,120.308,468.7096119,77.8646,471.057526,214021
4.67789,120.898,465.9418702,78.0076,469.731049,108294
5.5878,120.027,466.17378,78.1641,469.466217,180690
5.73848,123.132,467.1672702,78.3674,471.059723,189301
4.39331,126.004,465.6814337,78.4807,469.083191,123388
1.65668,123.133,466.3125992,78.3789,470.753479,0
2.25565,122.643,466.0069942,78.3531,469.451843,19491
2.74927,122.837,466.0307407,78.371,469.352234,36347
2.68912,122.992,466.0718083,78.8995,469.825043,34110
2.60963,123.146,465.97718,78.2938,470.385681,30936
2.3152,123.017,466.5881515,78.518,473.277252,17116
5.8982,123.416,465.8770323,78.6588,470.053802,180884
1.95565,123.226,466.3810253,80.943,474.189392,3856
3.76902,126.05,466.4908767,79.6557,475.859314,85622
2.38111,123.955,464.0947938,79.4313,474.234192,32815
1.9946,123.686,464.8563981,79.4601,473.245941,4872
1.65995,123.592,466.7547941,78.9875,475.247894,0
2.03909,123.359,464.3063545,78.8427,473.3685,6969
1.75869,123.843,464.6936893,78.8635,232.487701,1349
1.65885,124.155,466.2762523,78.6766,26.87825,0
1.66155,124.622,466.1529183,78.7233,26.54125,0
1.66324,124.565,464.8498654,78.8126,26.500599,0
2.78408,123.19,467.6620007,78.9337,468.930511,37540
2.95824,123.918,465.995121,79.2278,479.410248,43206
1.77155,124.422,465.4114008,78.9271,230.275909,2215
2.9559,123.398,465.6392813,78.942,472.835114,43206
3.04949,123.497,465.2254343,78.8516,474.036713,42724
1.66321,123.902,464.2859578,78.7741,230.014496,0
3.61294,123.86,467.2423363,79.1211,468.901367,72015
1.72235,124.976,466.7372584,78.813,229.968796,684
1.64533,125.053,465.5587316,78.8721,26.748951,0
2.09207,125.259,463.9929295,78.9334,470.610168,9950
1.94297,127.687,466.2558317,79.0096,472.562439,4007
1.80704,124.923,464.5423889,79.0128,229.867645,3446
1.65803,127.682,465.1622415,78.8428,26.832703,0
2.03936,125.141,466.6190743,79.0192,476.202393,7463
1.89094,124.961,465.1578426,78.9309,475.790375,1712
2.02848,129.689,464.2131567,79.2378,470.848785,6969
1.75177,125.379,466.5969849,79.298,229.560394,1298
2.07168,127.058,465.3078198,79.131,470.553528,7284
2.04065,123.966,465.0992036,79.099,476.617249,6688
1.60289,124.757,466.7391896,79.1413,230.313522,0
3.59791,123.771,469.1010356,79.135,470.823547,81932
2.66041,125.541,468.2711005,79.1878,475.357849,35902
2.25337,126.897,464.8478627,79.1033,475.629456,15242
2.00255,129.959,468.3980107,79.075,472.325928,7060
2.00653,126.886,478.0652046,79.1807,473.198059,6937
2.84874,124.189,465.9662008,79.4914,478.965576,52500
1.85225,123.39,477.351284,79.2012,473.091125,2029
1.97177,121.935,476.908505,79.1955,472.158112,9124
1.67159,124.055,472.1083641,79.243,230.116501,955
2.30802,124.073,472.1556425,79.3494,469.361389,19532
