IWS,OpenCV,HIGRA,NIWS,DIFT,Pixel Visited
80.3663,147.57,845.7511783,79.5009,500.692474,3145728
69.7095,146.696,862.3617887,83.0672,515.208374,2733309
1.95278,144.999,814.9065137,83.1274,174.399094,7362
2.5048,145.538,807.3215961,83.4114,508.813385,31958
3.97266,146.153,807.8746676,83.2733,512.677368,89858
3.7565,145.375,817.7918792,83.7111,511.756439,87872
3.99746,149.418,816.0879374,83.6864,511.695801,91619
8.58133,146.757,806.0681939,83.6342,512.239502,340573
1.89881,148.442,811.2556934,83.4843,171.512939,8548
8.426,145.641,808.7752461,84.0505,510.238617,335250
2.07427,148.116,805.1499844,83.6154,171.511444,13721
31.7734,147.15,795.4310894,85.4116,507.923828,1286230
3.94536,147.677,796.2611675,84.4264,514.371704,91008
2.854,146.777,794.0733433,85.0163,513.481812,34105
2.42025,146.493,797.0133662,85.0715,514.763306,27233
1.77228,146.338,794.8165417,84.6495,171.210907,3593
2.71806,146.766,797.2774744,84.3143,24.002201,29286
2.41641,146.754,794.3369031,85.1671,510.079102,27233
1.54182,146.731,795.3008056,84.2742,171.072113,0
3.01564,146.695,795.7391381,84.6505,510.416351,53477
2.66538,145.693,816.3330317,84.4195,171.344147,42357
3.02897,145.17,822.2253561,84.465,512.411499,53477
2.74119,147.9,809.9047422,84.7545,516.817505,45566
1.93592,144.809,796.2250233,84.9054,171.849884,9052
2.91679,145.836,796.7291713,84.641,512.202454,52364
1.71041,144.811,795.7327247,84.8261,171.369247,2676
1.5342,145.865,795.4153061,84.6118,24.306252,0
1.53134,144.954,794.9922919,84.6687,24.265001,0
