IWS,OpenCV,HIGRA,NIWS,Pixel Visited
80.3663,147.57,845.7511783,79.5009,3145728
69.7095,146.696,862.3617887,83.0672,2733309
1.95278,144.999,814.9065137,83.1274,7362
2.5048,145.538,807.3215961,83.4114,31958
3.97266,146.153,807.8746676,83.2733,89858
3.7565,145.375,817.7918792,83.7111,87872
3.99746,149.418,816.0879374,83.6864,91619
8.58133,146.757,806.0681939,83.6342,340573
1.89881,148.442,811.2556934,83.4843,8548
8.426,145.641,808.7752461,84.0505,335250
2.07427,148.116,805.1499844,83.6154,13721
31.7734,147.15,795.4310894,85.4116,1286230
3.94536,147.677,796.2611675,84.4264,91008
2.854,146.777,794.0733433,85.0163,34105
2.42025,146.493,797.0133662,85.0715,27233
1.77228,146.338,794.8165417,84.6495,3593
2.71806,146.766,797.2774744,84.3143,29286
2.41641,146.754,794.3369031,85.1671,27233
1.54182,146.731,795.3008056,84.2742,0
3.01564,146.695,795.7391381,84.6505,53477
2.66538,145.693,816.3330317,84.4195,42357
3.02897,145.17,822.2253561,84.465,53477
2.74119,147.9,809.9047422,84.7545,45566
1.93592,144.809,796.2250233,84.9054,9052
2.91679,145.836,796.7291713,84.641,52364
1.71041,144.811,795.7327247,84.8261,2676
1.5342,145.865,795.4153061,84.6118,0
1.53134,144.954,794.9922919,84.6687,0
